"plu","name"
"lk-268649","Potatoes - Peeled"
"bp-910868","Beer - Creemore"
"qf-022940","Crackers - Trio"
"bn-093830","Napkin - Cocktail,beige 2 - Ply"
"bi-882974","Bread - Calabrese Baguette"
"vu-664145","Amarula Cream"
"un-170875","Wine - Magnotta - Belpaese"
"tq-020632","Wine - Montecillo Rioja Crianza"
"gp-159788","Chinese Foods - Chicken"
"ja-860025","Muffin - Zero Transfat"
"ck-259920","Shrimp, Dried, Small / Lb"
"zg-506957","Soup - Campbells - Tomato"
"gu-918195","Cod - Salted, Boneless"
"bi-461896","Vodka - Smirnoff"
"sh-148600","Appetizer - Veg Assortment"
"ys-843488","Nori Sea Weed - Gold Label"
"gg-715347","Pasta - Rotini, Dry"
"gn-499799","Mcguinness - Blue Curacao"
"tu-073115","Pepper - Scotch Bonnet"
"zo-244394","Wine - Shiraz South Eastern"
"ku-465079","Jolt Cola - Red Eye"
"tt-465486","Muffin - Blueberry Individual"
"dv-828400","Langers - Cranberry Cocktail"
"ds-399967","Wine La Vielle Ferme Cote Du"
"uh-069084","Wine - Vidal Icewine Magnotta"
"au-690703","Radish"
"bd-941178","Beef - Roasted, Cooked"
"dw-695110","Salmon - Sockeye Raw"
"um-945071","Duck - Breast"
"fk-380919","Kale - Red"
"ja-282862","Cake - Miini Cheesecake Cherry"
"fx-163131","Island Oasis - Ice Cream Mix"
"is-168634","Fudge - Cream Fudge"
"cw-070253","Wine - Red, Concha Y Toro"
"td-656903","Plate Pie Foil"
"ti-310138","Vinegar - Raspberry"
"no-071187","Bread - Multigrain"
"pw-459356","Sprite, Diet - 355ml"
"mx-659175","Pork - Inside"
"fe-624791","Bread - Sour Batard"
"ed-626021","Syrup - Golden, Lyles"
"mj-393510","Tart Shells - Savory, 2"
"lj-477869","Radish - Black, Winter, Organic"
"nk-920184","Wine - Niagara Peninsula Vqa"
"zn-925791","Rum - White, Gg White"
"en-140982","Wine - Chateau Bonnet"
"ta-460241","Foil Cont Round"
"xm-127463","Dip - Tapenade"
"qq-735687","Sauce - Vodka Blush"
"dw-670738","Pumpkin"
"kn-392608","Longos - Burritos"
"du-339048","Fib N9 - Prague Powder"
"ms-418316","Shrimp - Baby, Warm Water"
"au-744212","Shrimp - 16/20, Iqf, Shell On"
"jq-810408","Flour - Cake"
"wr-709652","Eel - Smoked"
"oz-995733","Buffalo - Striploin"
"op-142861","Turkey - Whole, Fresh"
"fx-230178","Tobasco Sauce"
"zo-511262","Cheese - Brick With Pepper"
"zq-206560","Potato - Sweet"
"sj-447376","Bread - Hamburger Buns"
"dc-873187","Sour Cream"
"ka-589567","Taro Root"
"bs-170577","Club Soda - Schweppes, 355 Ml"
"yr-138241","Flavouring Vanilla Artificial"
"wz-811986","Kiwi Gold Zespri"
"bg-203191","Water - Green Tea Refresher"
"sx-780684","Ginger - Pickled"
"gy-573094","Wine - Muscadet Sur Lie"
"aj-216671","Nut - Peanut, Roasted"
"wz-316829","Cheese - Pied De Vents"
